combination_id,source_category,source_label,scope_urls,data_sensitivity,persistence,transitive_exposure,scope_count,cross_service_breadth,has_restricted_scope,access_level,risk_label
SC-0022,Student Created,Minimal sign-in,openid; email,1,0,0,2,1,0,0,Low
SC-0023,Student Created,Profile + email sign-in,openid; profile; email; https://www.googleapis.com/auth/userinfo.email; https://www.googleapis.com/auth/userinfo.profile,1,0,0,5,1,0,0,Low
SC-0024,Student Created,Redundant sign-in scopes,openid; profile; email; https://www.googleapis.com/auth/userinfo.email,1,0,0,4,1,0,0,Low
SC-0025,Student Created,"Online authentication with basic profile info, full access to create and edit Google Docs and Forms, and access to Drive file",openid; profile; email; https://www.googleapis.com/auth/documents; https://www.googleapis.com/auth/forms.body; https://www.googleapis.com/auth/drive.file,4,0,0,6,4,0,2,High
SC-0026,Student Created,"Authentication with profile info, full offline access to firebase and blood glucose levels.",openid; profile; email; https://www.googleapis.com/auth/firebase; https://www.googleapis.com/auth/fitness.blood_glucose.read,4,1,0,5,3,0,2,High
SC-0027,Student Created,"Authentication, read only for gmail and full access to owned calendars",openid; profile; email; https://www.googleapis.com/auth/gmail.readonly; https://www.googleapis.com/auth/calendar.events.owned,5,0,0,5,3,1,1,High
SC-0028,Student Created,"Authentication, access to coursework and grades for students in your classrooms and full access to Google Sheets.",openid; profile; email; https://www.googleapis.com/auth/classroom.coursework.students; https://www.googleapis.com/auth/spreadsheets,4,0,0,5,3,0,2,High
SC-0029,Student Created,Access to inserting data into BigQuery and access to see and download all Google Drive files.,https://www.googleapis.com/auth/bigquery.insertdata; https://www.googleapis.com/auth/drive.readonly,4,0,0,2,2,1,1,Medium
SC-0030,Student Created,Online authentication media uploader to YouTube with full download access to Drive,openid; profile; email; https://www.googleapis.com/auth/drive.readonly; https://www.googleapis.com/auth/youtube.upload,4,0,0,5,3,1,1,High
SC-0031,Student Created,Online authentication with basic profile information that has read access to form responces and abillity to send gmail.,openid; profile; email; https://www.googleapis.com/auth/forms.responses.readonly; https://www.googleapis.com/auth/gmail.send,5,0,0,5,3,1,1,High
SC-0032,Student Created,Offline with read access to your Google Analytics and AdSense data and full access to Google Sheets,openid; profile; email; https://www.googleapis.com/auth/analytics.readonly; https://www.googleapis.com/auth/spreadsheets,4,1,0,5,3,0,2,High
SC-0033,Student Created,"Online authentication and profile information with send/read permisons for gmail, read only for contacts, and full access to drive and spreadsheets.",openid; profile; email; https://www.googleapis.com/auth/gmail.send; https://www.googleapis.com/auth/gmail.readonly; https://www.googleapis.com/auth/spreadsheets; https://www.googleapis.com/auth/drive.file; https://www.googleapis.com/auth/contacts.readonly,5,0,1,8,5,1,2,Critical
SC-0034,Student Created,Online read only access to Google Documents and full access to your Blogger account,openid; profile; email; https://www.googleapis.com/auth/blogger; https://www.googleapis.com/auth/documents.readonly,4,0,0,5,3,0,2,High
SC-0035,Student Created,"Authentication with offline access to modify your Google Drive App Scripts, Google App Scripts, and Google Drive Activity.",openid; profile; email; https://www.googleapis.com/auth/drive.scripts; https://www.googleapis.com/auth/script.projects; https://www.googleapis.com/auth/drive.activity,4,1,0,6,3,0,1,High
SC-0036,Student Created,"Online authentication, access to read only data coming from forms you own and full access to modify calendars you own.",openid; profile; email; https://www.googleapis.com/auth/forms.responses.readonly; https://www.googleapis.com/auth/calendar.events.owned,3,0,0,5,3,0,1,Medium
SC-0037,Student Created,Online authentication read only access to gmail and full access to Google Chat.,openid; profile; email; https://www.googleapis.com/auth/gmail.addons.current.message.readonly; https://www.googleapis.com/auth/chat.messages,5,0,0,5,3,0,2,Critical
SC-0038,Student Created,Online read only access to Google Chat messages and full access to modify s you own.,openid; profile; email; https://www.googleapis.com/auth/calendar.events.owned; https://www.googleapis.com/auth/chat.messages.readonly,4,0,0,5,3,0,1,High
SC-0039,Student Created,"Offline full access to BigQuery, read write access to Cloud Storage, and full access to Google Sheets.",https://www.googleapis.com/auth/bigquery; https://www.googleapis.com/auth/devstorage.read_write; https://www.googleapis.com/auth/spreadsheets,4,1,0,3,3,0,2,High
SC-0040,Student Created,Online authentication with ability to send Gmail notifications and access to view and manage data transfers between users in your organization.,openid; profile; email; https://www.googleapis.com/auth/gmail.send; https://www.googleapis.com/auth/admin.datatransfer,5,0,1,5,3,1,3,Critical
SC-0041,Student Created,Offline access to read google drive activity and send mail via gmail on your behalf.,openid; profile; email; https://www.googleapis.com/auth/drive.activity.readonly; https://www.googleapis.com/auth/gmail.send,5,1,0,5,3,1,1,Critical
SC-0042,Student Created,Online access to managing your email labels and read only access to email metadata.,openid; profile; email; https://www.googleapis.com/auth/gmail.labels; https://www.googleapis.com/auth/gmail.metadata,5,0,0,5,2,0,1,High
SC-0043,Student Created,Online read-only access to your Firebase data as well as Google Compute data and full access to Google Sheets.,openid; profile; email; https://www.googleapis.com/auth/compute.readonly; https://www.googleapis.com/auth/firebase.readonly; https://www.googleapis.com/auth/spreadsheets,4,0,0,6,4,0,2,High
SC-0044,Student Created,Offline read-only access to Google Firebase and Google Analytics data,openid; profile; email; https://www.googleapis.com/auth/firebase.readonly; https://www.googleapis.com/auth/analytics.readonly,3,1,0,5,3,0,0,Medium
SC-0045,Student Created,"Online read-only access to Google Sheets, access to provisioning of domains for users, role management, and data access permisions for users in your domain.",https://www.googleapis.com/auth/admin.directory.user.security; https://www.googleapis.com/auth/admin.directory.domain; https://www.googleapis.com/auth/admin.directory.rolemanagement; https://www.googleapis.com/auth/spreadsheets.readonly,5,0,1,4,2,0,3,Critical
SC-0046,Student Created,"Online access send emails on your behalf, read only access to the emails of people in your classrooms, and read only access to all events on your Google Calendar.",openid; profile; email; https://www.googleapis.com/auth/gmail.send; https://www.googleapis.com/auth/classroom.profile.emails; https://www.googleapis.com/auth/calendar.events.readonly,5,0,1,6,4,1,1,Critical
SC-0047,Student Created,Online full access to groups and read only access to your contacts.,openid; profile; email; https://www.googleapis.com/auth/groups; https://www.googleapis.com/auth/contacts.readonly,4,0,1,5,3,0,2,High
SC-0048,Student Created,Online read only access to AdSense data and Analytics,openid; profile; email; https://www.googleapis.com/auth/adsense.readonly; https://www.googleapis.com/auth/analytics.readonly,2,0,0,5,3,0,0,Medium
SC-0049,Student Created,"Online access to append to Google Photos library, read all Google Chat messages, and read Gmail messages when the add-on is active ",openid; profile; email; https://www.googleapis.com/auth/photoslibrary.appendonly; https://www.googleapis.com/auth/chat.messages.readonly; https://www.googleapis.com/auth/gmail.addons.current.message.readonly,5,0,0,6,4,0,1,High
SC-0050,Published Attack Patterns,Full data exfiltration via consent phishing.,https://mail.google.com/; https://www.googleapis.com/auth/drive; https://www.googleapis.com/auth/contacts,5,1,1,3,3,1,2,Critical
SC-0051,Published Attack Patterns,"Consent phishing targeting email, contacts, and calendar.",https://mail.google.com/; https://www.googleapis.com/auth/contacts; https://www.googleapis.com/auth/calendar,5,1,1,3,3,1,2,Critical
SC-0052,Published Attack Patterns,Send-as phishing with contact harvesting.,https://www.googleapis.com/auth/gmail.send; https://www.googleapis.com/auth/contacts.readonly,5,1,1,2,2,1,1,Critical
SC-0053,Published Attack Patterns,Full Gmail takeover via a single scope.,https://mail.google.com/,5,1,0,1,1,1,2,High
SC-0054,Published Attack Patterns,Persistent Drive access via token abuse.,https://www.googleapis.com/auth/drive,4,1,0,1,1,1,2,High
SC-0055,Published Attack Patterns,Comprehensive spearphishing setup.,https://www.googleapis.com/auth/gmail.send; https://www.googleapis.com/auth/gmail.readonly; https://www.googleapis.com/auth/drive; https://www.googleapis.com/auth/contacts,5,1,1,4,3,1,2,Critical
SC-0056,Published Attack Patterns,Email impersonation setup.,https://www.googleapis.com/auth/gmail.send; https://www.googleapis.com/auth/gmail.readonly; https://www.googleapis.com/auth/contacts.readonly,5,1,1,3,2,1,1,Critical
SC-0057,Published Attack Patterns,Full email access with forwarding rule injection.,https://mail.google.com/; https://www.googleapis.com/auth/gmail.settings.sharing,5,1,0,2,1,1,2,High
SC-0058,Published Attack Patterns,Email modification with filter manipulation.,https://www.googleapis.com/auth/gmail.modify; https://www.googleapis.com/auth/gmail.settings.basic,5,1,0,2,1,1,1,High
SC-0059,Published Attack Patterns,Admin account takeover.,https://www.googleapis.com/auth/admin.directory.user; https://www.googleapis.com/auth/admin.directory.user.security; https://www.googleapis.com/auth/admin.directory.rolemanagement,5,1,1,3,1,0,3,Critical
SC-0060,Published Attack Patterns,Cloud infrastructure compromise.,https://www.googleapis.com/auth/cloud-platform; https://www.googleapis.com/auth/compute,3,1,1,2,2,0,3,Critical
SC-0061,Published Attack Patterns,Full domain admin compromise.,https://www.googleapis.com/auth/admin.directory.user; https://www.googleapis.com/auth/admin.directory.group; https://www.googleapis.com/auth/admin.directory.domain; https://www.googleapis.com/auth/admin.datatransfer,5,1,1,4,1,0,3,Critical
SC-0062,Published Attack Patterns,Admin plus full email access enables user impersonation.,https://www.googleapis.com/auth/admin.directory.user; https://mail.google.com/,5,1,1,2,2,1,3,Critical
SC-0063,Published Attack Patterns,Document exfiltration targeting all file types.,https://www.googleapis.com/auth/drive; https://www.googleapis.com/auth/documents; https://www.googleapis.com/auth/spreadsheets,4,1,0,3,3,1,2,Critical
SC-0064,Published Attack Patterns,Passive surveillance using read-only scopes.,https://www.googleapis.com/auth/drive.readonly; https://www.googleapis.com/auth/gmail.readonly; https://www.googleapis.com/auth/calendar.acls.readonly; https://www.googleapis.com/auth/directory.readonly,5,1,1,4,4,1,0,Critical
SC-0065,Published Attack Patterns,"Personal data theft targeting photos, files, and contacts.",https://www.googleapis.com/auth/photoslibrary; https://www.googleapis.com/auth/drive; https://www.googleapis.com/auth/contacts,4,1,1,3,3,1,2,Critical
SC-0066,Published Attack Patterns,Credential harvesting from notes and files.,https://www.googleapis.com/auth/keep; https://www.googleapis.com/auth/drive; https://www.googleapis.com/auth/gmail.readonly,5,1,0,3,3,1,2,Critical
SC-0067,Published Attack Patterns,"Health data theft from Google Fitness. Medical data including blood glucose, blood pressure, heart rate, and body measurements is highly sensitive and subject to health privacy regulations.",https://www.googleapis.com/auth/fitness.blood_glucose.read; https://www.googleapis.com/auth/fitness.blood_pressure.read; https://www.googleapis.com/auth/fitness.heart_rate.read; https://www.googleapis.com/auth/fitness.body.read,4,1,0,4,1,0,0,Medium
SC-0068,Published Attack Patterns,Massively over-privileged app requesting access to six distinct services.,https://mail.google.com/; https://www.googleapis.com/auth/drive; https://www.googleapis.com/auth/calendar; https://www.googleapis.com/auth/contacts; https://www.googleapis.com/auth/tasks; https://www.googleapis.com/auth/keep,5,1,1,6,6,1,2,Critical
SC-0069,Published Attack Patterns,"Maximum privilege request spanning cloud infrastructure, email, files, and user administration",https://www.googleapis.com/auth/cloud-platform; https://mail.google.com/; https://www.googleapis.com/auth/drive; https://www.googleapis.com/auth/admin.directory.user,5,1,1,4,4,1,3,Critical
SC-0070,Published Attack Patterns,Kitchen-sink scope request spanning six unrelated services.,https://www.googleapis.com/auth/gmail.modify; https://www.googleapis.com/auth/drive; https://www.googleapis.com/auth/calendar; https://www.googleapis.com/auth/contacts; https://www.googleapis.com/auth/youtube; https://www.googleapis.com/auth/photoslibrary,5,1,1,6,6,1,2,Critical
SC-0071,Github Manifest Combinations,"A desktop email client requires full mailbox access to display, compose, and delete emails",https://mail.google.com/; https://www.googleapis.com/auth/directory.readonly,5,1,1,2,2,1,2,Critical
SC-0072,Github Manifest Combinations,"Webmail managers need to read and modify emails (move, archive, label) and manage labels for folder-like organization.",https://www.googleapis.com/auth/gmail.modify; https://www.googleapis.com/auth/gmail.labels; https://www.googleapis.com/auth/contacts.other.readonly,5,1,0,3,2,1,1,High
SC-0073,Github Manifest Combinations,"A helpdesk reads incoming support emails, drafts responses using templates, and sends replies.",https://www.googleapis.com/auth/gmail.readonly; https://www.googleapis.com/auth/gmail.send; https://www.googleapis.com/auth/gmail.compose,5,1,0,3,1,1,1,High
SC-0074,Github Manifest Combinations,"A CRM reads emails to log conversation history, sends outreach emails, reads contacts to build the lead database, and accesses calendar events to track meetings.",https://www.googleapis.com/auth/gmail.send; https://www.googleapis.com/auth/gmail.readonly; https://www.googleapis.com/auth/contacts.readonly; https://www.googleapis.com/auth/calendar.events,5,1,1,4,3,1,1,Critical
SC-0075,Github Manifest Combinations,"Sales platforms need write access to contacts, email sending, calendar access, and app-specific Drive access.",https://www.googleapis.com/auth/contacts; https://www.googleapis.com/auth/gmail.send; https://www.googleapis.com/auth/calendar.events; https://www.googleapis.com/auth/drive.file,5,1,1,4,4,1,2,Critical
SC-0076,Github Manifest Combinations,A read-only CRM sync only ingests data without modifying the user's account,https://www.googleapis.com/auth/gmail.readonly; https://www.googleapis.com/auth/contacts.readonly; https://www.googleapis.com/auth/calendar.calendars.readonly,5,1,1,3,3,1,0,Critical
SC-0077,Github Manifest Combinations,"A project management tool syncs calendar events to show deadlines on a project timeline, syncs tasks for to-do tracking, and attaches files from Drive to cards or tickets.",https://www.googleapis.com/auth/calendar.events; https://www.googleapis.com/auth/tasks; https://www.googleapis.com/auth/drive.file,4,0,0,3,3,0,2,High
SC-0078,Github Manifest Combinations,Some open-source tools store their board state in a Google Sheet rather than a dedicated database,https://www.googleapis.com/auth/drive.file; https://www.googleapis.com/auth/spreadsheets,4,0,0,2,2,0,2,Medium
SC-0079,Github Manifest Combinations,Time trackers only need to observe the user's calendar and tasks to log time automatically.,https://www.googleapis.com/auth/calendar.events.readonly; https://www.googleapis.com/auth/tasks.readonly,3,0,0,2,2,0,0,Low
SC-0080,Github Manifest Combinations,A backup tool must access the user's complete data across all services.,https://mail.google.com/; https://www.googleapis.com/auth/drive; https://www.googleapis.com/auth/calendar; https://www.googleapis.com/auth/contacts,5,1,1,4,4,1,2,Critical
SC-0081,Github Manifest Combinations,Migration tools need full Drive access plus explicit Docs and Sheets scopes to preserve native document formatting during cross-platform transfers.,https://www.googleapis.com/auth/drive; https://www.googleapis.com/auth/calendar; https://www.googleapis.com/auth/spreadsheets,4,1,0,3,3,1,2,Critical
SC-0082,Github Manifest Combinations,An email archiver reads all mail and optionally reads Drive attachments for a complete archive.,https://www.googleapis.com/auth/gmail.readonly; https://www.googleapis.com/auth/drive.readonly,5,1,0,2,2,1,0,High
SC-0083,Github Manifest Combinations,"A mail merge reads recipient lists from a spreadsheet, sends personalized emails, and accesses Drive for email template files.",https://www.googleapis.com/auth/spreadsheets; https://www.googleapis.com/auth/gmail.send; https://www.googleapis.com/auth/drive.file,5,0,0,3,3,1,2,Critical
SC-0084,Github Manifest Combinations,Similar to mail merge but uses contacts for recipient data instead of or in addition to a spreadsheet.,https://www.googleapis.com/auth/spreadsheets; https://www.googleapis.com/auth/gmail.send; https://www.googleapis.com/auth/contacts.readonly,5,0,1,3,3,1,2,Critical
SC-0085,Github Manifest Combinations,General-purpose automation platforms need broad access because they execute user-defined workflows that may span multiple services,https://www.googleapis.com/auth/script.projects; https://www.googleapis.com/auth/drive; https://www.googleapis.com/auth/spreadsheets; https://www.googleapis.com/auth/gmail.send,5,1,0,4,4,1,2,Critical
SC-0086,Github Manifest Combinations,"A form auto-responder watches for new form submissions, logs responses to a spreadsheet for record-keeping, and sends a confirmation email to each respondent.",https://www.googleapis.com/auth/forms.body; https://www.googleapis.com/auth/forms.responses.readonly; https://www.googleapis.com/auth/spreadsheets; https://www.googleapis.com/auth/gmail.send,5,0,0,4,3,1,2,Critical
SC-0087,Github Manifest Combinations,These tools pull Google Analytics data and write it to a spreadsheet for custom dashboarding.,https://www.googleapis.com/auth/analytics.readonly; https://www.googleapis.com/auth/spreadsheets,4,0,0,2,2,0,2,Medium
SC-0088,Github Manifest Combinations,"For large-scale analytics, data is piped from Google Analytics into BigQuery for SQL-based analysis.",https://www.googleapis.com/auth/analytics; https://www.googleapis.com/auth/bigquery,3,0,0,2,2,0,2,Medium
SC-0089,Github Manifest Combinations,Security teams export Workspace audit logs to spreadsheets for compliance reporting.,https://www.googleapis.com/auth/admin.directory.user.readonly; https://www.googleapis.com/auth/spreadsheets,5,0,1,2,2,0,2,High
SC-0090,Github Manifest Combinations,These tools read video files from Drive and upload them to YouTube on a schedule. Offline refresh token,https://www.googleapis.com/auth/youtube.upload; https://www.googleapis.com/auth/drive.readonly,4,0,0,2,2,1,1,Medium
SC-0091,Github Manifest Combinations,Creator dashboards need full YouTube access for channel management plus analytics for performance metrics.,https://www.googleapis.com/auth/youtube; https://www.googleapis.com/auth/analytics.readonly,3,1,0,2,2,0,2,High
SC-0092,Github Manifest Combinations,"Photo organizers sync between Google Photos and Drive folders, requiring full access to both services.",https://www.googleapis.com/auth/photoslibrary; https://www.googleapis.com/auth/drive,4,1,0,2,2,1,2,High
SC-0093,Github Manifest Combinations,"A learning management system integration needs to read and create courses, access class rosters for enrollment sync, attach files to assignments via Drive, and create quizzes via Forms.",https://www.googleapis.com/auth/classroom.courses; https://www.googleapis.com/auth/classroom.rosters; https://www.googleapis.com/auth/drive.file; https://www.googleapis.com/auth/forms.body,4,0,1,4,3,0,2,High
SC-0094,Github Manifest Combinations,"A grade notification tool reads student coursework and grades, exports them to a spreadsheet for record-keeping, and sends email notifications to students or parents.",https://www.googleapis.com/auth/classroom.coursework.students; https://www.googleapis.com/auth/spreadsheets; https://www.googleapis.com/auth/gmail.send,5,0,0,3,3,1,2,Critical
SC-0095,Github Manifest Combinations,A reminder bot reads upcoming calendar events and sends notification messages into Chat spaces.,https://www.googleapis.com/auth/chat.messages; https://www.googleapis.com/auth/chat.spaces; https://www.googleapis.com/auth/calendar.events.readonly,4,0,0,3,2,0,2,High
SC-0096,Github Manifest Combinations,A file sharing bot allows users to search and share Drive files directly within Chat.,https://www.googleapis.com/auth/chat.messages; https://www.googleapis.com/auth/drive.readonly,4,0,0,2,2,1,2,High
SC-0097,Github Manifest Combinations,The minimal sign-in scope set used by virtually every web application offering Google SSO.,openid; email; profile,1,0,0,3,1,0,0,Low
SC-0098,Github Manifest Combinations,Some OAuth libraries request the explicit userinfo scopes alongside the shorthand scopes.,openid; email; https://www.googleapis.com/auth/userinfo.email; https://www.googleapis.com/auth/userinfo.profile,1,0,0,4,1,0,0,Low
SC-0099,Github Manifest Combinations,"IT admin tools manage user accounts, group memberships, and security settings.",https://www.googleapis.com/auth/admin.directory.user; https://www.googleapis.com/auth/admin.directory.group; https://www.googleapis.com/auth/admin.directory.user.security,5,1,1,3,1,0,3,Critical
SC-0100,Github Manifest Combinations,Security dashboards need read-only access to the user directory (to identify accounts) and audit logs.  Offline refresh token,https://www.googleapis.com/auth/admin.directory.user.readonly; https://www.googleapis.com/auth/admin.reports.audit.readonly,5,0,1,2,1,0,0,Medium
SC-0101,Github Manifest Combinations,"Domain migration requires user management (to recreate accounts), data transfer, and domain provisioning.",https://www.googleapis.com/auth/admin.directory.user; https://www.googleapis.com/auth/admin.datatransfer; https://www.googleapis.com/auth/admin.directory.domain,5,1,1,3,1,0,3,Critical
SC-0102,Github Manifest Combinations,Data pipelines move data between Cloud Storage and BigQuery. ,https://www.googleapis.com/auth/devstorage.read_write; https://www.googleapis.com/auth/bigquery,3,0,0,2,2,0,2,Medium
SC-0103,Github Manifest Combinations,"service: Cloud, access_type: read, google_classification: sensitive; service: Compute, access_type: read, google_classification: sensitive; Online access only",https://www.googleapis.com/auth/cloud-platform.read-only; https://www.googleapis.com/auth/compute.readonly,3,0,0,2,2,0,0,Low
SC-0104,Strategy A: Boolean Switching,"service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: Fitness, access_type: read, google_classification: sensitive; service: Fitness, access_type: read, google_classification: sensitive; service: Sheets, access_type: full_access, google_classification: sensitive; Online access only",openid; profile; email; https://www.googleapis.com/auth/fitness.activity.read; https://www.googleapis.com/auth/fitness.body.read; https://www.googleapis.com/auth/spreadsheets,4,0,0,6,3,0,2,High
SC-0105,Strategy A: Boolean Switching,"service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: YouTube, access_type: full_access, google_classification: sensitive; service: Drive, access_type: read_write, google_classification: non_sensitive; Offline refresh token",openid; profile; email; https://www.googleapis.com/auth/youtube; https://www.googleapis.com/auth/drive.file,4,1,0,5,3,0,2,High
SC-0106,Strategy A: Boolean Switching,"service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: Contacts, access_type: read, google_classification: sensitive; service: Gmail, access_type: write, google_classification: sensitive; Offline refresh token",openid; profile; email; https://www.googleapis.com/auth/contacts.readonly; https://www.googleapis.com/auth/gmail.compose,5,1,1,5,3,0,1,Critical
SC-0107,Strategy A: Boolean Switching,"service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: Cloud Storage, access_type: read_write, google_classification: sensitive; service: Drive, access_type: read_write, google_classification: non_sensitive; Online access only",openid; profile; email; https://www.googleapis.com/auth/devstorage.read_write; https://www.googleapis.com/auth/drive.file,4,0,0,5,3,0,1,High
SC-0108,Strategy A: Boolean Switching,"service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: Photos, access_type: full_access, google_classification: sensitive; Offline refresh token",openid; profile; email; https://www.googleapis.com/auth/photoslibrary,4,1,0,4,2,0,2,High
SC-0109,Strategy A: Boolean Switching,"service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: Slides, access_type: full_access, google_classification: sensitive; service: Docs, access_type: full_access, google_classification: sensitive; Offline refresh token",openid; profile; email; https://www.googleapis.com/auth/presentations; https://www.googleapis.com/auth/documents,4,1,0,5,3,0,2,High
SC-0110,Strategy A: Boolean Switching,"service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: Tasks, access_type: read, google_classification: sensitive; service: Calendar, access_type: read, google_classification: sensitive; Offline refresh token",openid; profile; email; https://www.googleapis.com/auth/tasks.readonly; https://www.googleapis.com/auth/calendar.events.readonly,3,1,0,5,3,0,0,Medium
SC-0111,Strategy A: Boolean Switching,"service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: Identity, access_type: read, google_classification: non_sensitive; service: Firebase, access_type: full_access, google_classification: sensitive; service: Compute, access_type: full_access, google_classification: sensitive; Offline refresh token",openid; profile; email; https://www.googleapis.com/auth/firebase; https://www.googleapis.com/auth/compute,3,1,0,5,3,0,2,High
